date,time,total_by_date_time
3/25/2023,4:00:00,60588
3/25/2023,8:00:00,98985
3/25/2023,12:00:00,320117
3/25/2023,16:00:00,465308
3/25/2023,20:00:00,424486
3/26/2023,0:00:00,219788
3/26/2023,4:00:00,53099
3/26/2023,8:00:00,71529
3/26/2023,12:00:00,284964
3/26/2023,16:00:00,446163
3/26/2023,20:00:00,391452
3/27/2023,0:00:00,169519
3/27/2023,4:00:00,27063
3/27/2023,8:00:00,350942
3/27/2023,12:00:00,593998
3/27/2023,16:00:00,573782
3/27/2023,20:00:00,675962
3/28/2023,0:00:00,172975
3/28/2023,4:00:00,27462
3/28/2023,8:00:00,384788
3/28/2023,12:00:00,689712
3/28/2023,16:00:00,601429
3/28/2023,20:00:00,764241
3/29/2023,0:00:00,219802
3/29/2023,4:00:00,31042
3/29/2023,8:00:00,390872
3/29/2023,12:00:00,691090
3/29/2023,16:00:00,614040
3/29/2023,20:00:00,786067
3/30/2023,0:00:00,231245
3/30/2023,4:00:00,32561
3/30/2023,8:00:00,377768
3/30/2023,12:00:00,679011
3/30/2023,16:00:00,620213
3/30/2023,20:00:00,781055
3/31/2023,0:00:00,239460
3/31/2023,4:00:00,39152
3/31/2023,8:00:00,326919
3/31/2023,12:00:00,561932
3/31/2023,16:00:00,636683
3/31/2023,20:00:00,754872
